ep,step,score,aug_score,exploration_rate
0,101,-126.61211015756567,-1378.6332009090786,1.0
1,72,-86.20228322711284,-797.8314137600776,0.798065677681905
2,103,-347.3170594210061,-1812.2005871953688,0.47862223409330756
3,102,-106.9153937306242,-836.2987616064495,0.2884855236625661
4,89,-470.63652867850595,-1712.8211396553447,0.18559023879528855
5,123,-219.0385031732357,-1504.5117842997047,0.10068643904747315
6,105,-41.58559473874405,-1084.9344740045753,0.05978212923978115
7,78,-141.7136541492975,-844.4662162307385,0.04063952250178857
8,108,-90.86952725529372,-1237.6532990891644,0.023769400938086327
9,613,-42.38060351756567,-3455.7297728106346,0.01
10,184,-39.185445518057776,-1630.2417832471533,0.01
11,238,-45.26416059180515,-2026.5866944432953,0.01
12,174,-25.875337459506483,-1657.2267639268057,0.01
13,164,-32.81185314720639,-1589.8909865385865,0.01
14,125,-154.83939147258445,-1131.7983036505268,0.01
15,192,-31.635629203284836,-1987.955764298441,0.01
16,140,-101.18041473357282,-1415.6070507193006,0.01
17,177,-34.17371813693531,-1520.0526057046031,0.01
18,153,-170.79432128579802,-1446.4673346013335,0.01
19,191,-103.79495674767841,-1753.975716380173,0.01
20,181,-44.1281899072373,-1767.5133407106066,0.01
21,197,-11.091326815817439,-1535.050488371211,0.01
22,1000,-49.023341018880444,-5555.975637301274,0.01
23,509,197.16064864558564,-2236.980997608699,0.01
24,171,-60.85361186932618,-1272.7279037050291,0.01
25,242,-14.305821069558704,-1534.2162879151701,0.01
26,349,253.04695448646126,-1294.8109018517714,0.01
27,686,-63.138875464028864,-2643.1476628417654,0.01
28,193,-11.947581645269878,-1610.735702277213,0.01
29,92,-328.6456530655493,-1479.579034151765,0.01
30,952,-120.98743112993674,-3992.7917928919787,0.01
31,152,16.36510977174018,-1046.4086520985993,0.01
32,197,27.811402841855696,-1118.6019212620677,0.01
33,133,-17.48305886373383,-1207.1048758490422,0.01
34,169,4.098805977490301,-1334.7751585845897,0.01
35,231,29.420214928860446,-1699.5206029827832,0.01
36,159,-13.389003071985101,-1205.7354432705836,0.01
37,714,149.28657778287976,-3365.8111108430235,0.01
38,466,216.2363102494976,-1616.3571462422444,0.01
39,163,27.110205883295862,-1421.0907901831483,0.01
40,1000,82.11382378674496,-5074.829757521626,0.01
41,415,172.57810510280623,-1494.5761901638582,0.01
42,122,-21.984227648652165,-1148.16297256825,0.01
43,455,190.82324253654718,-1771.8909286873795,0.01
44,116,7.3138234989569355,-1026.3963961585573,0.01
45,217,36.973903955212705,-1215.2289688631663,0.01
46,581,182.72981535433266,-2134.5278978438605,0.01
47,194,30.431059235548446,-1137.4571739976957,0.01
48,229,25.854818153812474,-1222.6613525354423,0.01
49,320,15.771770936526764,-1693.3523106464556,0.01
50,515,235.00253082505148,-2205.6333543432524,0.01
51,300,207.66785393910695,-1745.2909706279227,0.01
52,327,268.0370584180232,-1002.3535051040681,0.01
53,119,-30.306068457734156,-1058.3110276263446,0.01
54,912,203.51313414881264,-2916.191223601199,0.01
55,466,179.34564337863242,-1286.274256102031,0.01
56,1000,158.93384636831854,-1594.8883463042048,0.01
57,1000,72.64760042533712,-1997.0785275677551,0.01
58,692,253.87513135258604,-1531.7267124914642,0.01
59,548,228.91372244931128,-1270.3940032478156,0.01
60,1000,109.3870434175874,-1851.3633211412562,0.01
61,274,35.69315789389614,-1416.328121811909,0.01
62,1000,114.53965627346437,-1540.2454507569341,0.01
63,617,222.02047163099616,-1906.3014172302517,0.01
64,1000,130.01839824966558,-1248.5941347536582,0.01
65,1000,117.26395000413763,-1469.4302417555502,0.01
66,1000,126.59321125082057,-1408.4768183710478,0.01
67,126,35.49210187852947,-1302.839266891921,0.01
