ep,step,score,aug_score,exploration_rate
0,108,-96.57377978576352,-1100.199696903806,1.0
1,116,-101.48799744922655,-1394.142073965855,0.9952113821607437
2,103,-132.08799240117895,-1239.7172691387486,0.9901485986129799
3,77,-192.46114077597576,-855.3099581933734,0.9863930800540196
4,80,-98.40543848360743,-728.900076345455,0.9825044153393889
5,63,-89.52838792078262,-619.5798654722428,0.9794632918000941
6,101,-156.9478770778539,-1128.5083368108633,0.9745780764259094
7,109,-185.42560250639136,-1489.059287916414,0.9693294077553879
8,99,-141.3242232840147,-1135.2144259255015,0.9645911933070476
9,90,20.98099652978793,-680.7611181324041,0.9603081921664676
10,91,-14.976871714367661,-574.862840392067,0.9559964063006904
11,87,-65.5525083966298,-723.2249448481688,0.9518943449538539
12,120,-128.96142740460806,-1570.956493883456,0.9462472491932123
13,100,-125.2645658689113,-1114.6298328122616,0.9415747823932208
14,64,-70.71444836165591,-580.4815824604573,0.9386134143972011
15,71,-68.47422825936286,-645.924268232845,0.9353339279082137
16,104,-176.47135015375625,-1048.70646860249,0.9305292208012732
17,138,-92.11744015474783,-1702.2455448880494,0.9241767189838476
18,103,-99.82377890548005,-1071.188132651655,0.9194752989921082
19,85,-71.67090662999537,-802.4511318957663,0.9156215050232419
20,70,-177.26365077570983,-700.504302487531,0.9124679749593488
21,60,-88.75909586073666,-575.2007897627523,0.9097800938096483
22,95,-125.60706047387097,-1014.5311213801536,0.905514053764223
23,106,-146.50434464560544,-1280.3397902135705,0.9007724440573633
24,67,-105.17645510185675,-640.0198746406674,0.8978047202358422
25,114,-235.9333834677479,-1478.6033797540238,0.8927463005972243
26,73,-127.82192117652448,-664.1295928612959,0.8895381119142478
27,106,-53.19613824366711,-1069.753590773335,0.8848801582043737
28,65,-91.48362239807409,-576.3126652034326,0.8820529968891733
29,90,-107.98816765064448,-1000.5990045737667,0.878136483844122
30,88,-455.5657943865209,-1020.1223124147779,0.8743247912883125
31,100,-240.24885659686234,-1383.2309382187477,0.8700074698237718
32,59,-86.16791835608944,-565.5041516813918,0.867488040113839
33,95,-230.24304073116986,-1140.5598779749055,0.8634203112821858
34,105,-11.76646575274988,-811.0829626064657,0.8589420672322386
35,102,-16.58384818138721,-794.1475522386343,0.8546152360653756
36,66,-72.52892370417301,-621.6845579732909,0.8518421758848056
37,92,-91.48470382367363,-858.641765957447,0.847975001797267
38,65,-128.3294804551628,-666.851946331466,0.845265751172637
39,65,-67.3838302914736,-578.3145048332149,0.8425651565094816
40,74,-145.455442256715,-710.6222919357954,0.8394953227965053
41,87,-179.30621201188023,-984.0665270575938,0.8358931530688817
42,78,-139.62722092013243,-794.9940183813064,0.8326810713518479
