ep,step,score,aug_score,exploration_rate
0,141,-197.9316324872009,-1166.9821866110237,0.9369146928798039
1,122,-246.3291196202363,-1194.6039351987154,0.510849320360386
2,68,-297.77802126606366,-555.1035943779482,0.36512303261753626
3,76,-595.9346392301852,-1075.998475506716,0.2507092085103961
4,97,-101.49428416032971,-676.9681210325904,0.1549480222912372
5,120,-113.52022633867864,-716.6607973745888,0.08533607153708872
6,167,-3.057983116263827,-954.8933298457583,0.037133343065552986
7,74,-140.11043394400735,-540.3491310700483,0.025754252208694463
8,152,-61.230937173069904,-848.6051536006305,0.01208186940302195
9,106,-226.82277369409343,-713.5895199047259,0.01
10,90,-199.79775559824856,-613.7979110347637,0.01
11,125,-108.09174358694412,-658.6362324712774,0.01
12,270,-68.78426736797624,-957.1398918901316,0.01
13,426,-157.5317802552531,-2127.405440701137,0.01
14,534,-25.120420040228012,-2068.4861151488885,0.01
15,634,-135.2397929587729,-2655.0321881508276,0.01
16,558,-62.517284479178166,-2120.408585866167,0.01
17,544,-69.42187412556618,-2122.6767679778486,0.01
18,481,7.827181782920434,-1513.7091941855067,0.01
19,597,210.598098732946,-1439.6284340593133,0.01
20,323,-48.805339346002555,-1340.591868391788,0.01
21,307,-45.68311192883,-1157.0109001032158,0.01
22,448,262.56595755266824,-808.189383473421,0.01
23,901,-116.08041005940431,-4036.21718467887,0.01
24,740,-132.6778735587307,-2629.464262925558,0.01
25,320,-16.775509281926333,-1439.1762280882383,0.01
26,272,8.610771950857185,-1290.0320822359079,0.01
27,422,206.22576027973003,-939.6315776867145,0.01
28,953,111.55628953424349,-2119.3709899102673,0.01
29,299,15.711220516102586,-1173.8852711611178,0.01
30,1000,-42.14688776144155,-2885.617379232675,0.01
31,1000,-65.88119550370862,-2264.3005250393308,0.01
32,285,-37.563362466341886,-1966.6689766619195,0.01
33,1000,30.850347449199212,-1953.5478651477551,0.01
34,758,161.3422359259672,-1407.440240736779,0.01
35,769,211.31900401822534,-1911.224527900178,0.01
36,538,206.53399359981478,-1852.3693023276332,0.01
37,966,158.25664717556685,-2371.0981578684177,0.01
38,403,-147.06408789829254,-1603.7223997863161,0.01
39,337,243.81494569106889,-672.6088874556219,0.01
40,177,57.227268475951746,-641.7606332645227,0.01
41,1000,75.35812416111251,-1822.3391822442925,0.01
42,504,-122.87187715001444,-2299.3410610634473,0.01
43,91,-121.7491980362567,-594.2049781954724,0.01
44,611,118.34902778343239,-1472.6351891169618,0.01
45,271,-42.90255395357313,-1422.9272893735838,0.01
46,977,137.48918733760442,-3195.9656002182533,0.01
47,204,-2.640317728078273,-1029.2363973551296,0.01
48,380,-62.65730575218271,-1590.1777957382376,0.01
49,1000,-16.99130574971106,-3211.269904533134,0.01
50,1000,60.02771233417152,-2000.6159922489753,0.01
51,1000,-58.13786534586866,-4329.037642870045,0.01
52,619,198.38896516600607,-1573.7388346389598,0.01
53,553,-125.54964947440209,-2900.86631705969,0.01
54,1000,-4.52296860875883,-4052.835462967737,0.01
55,574,163.97492132586194,-1458.5605598741688,0.01
56,1000,-31.805844939796206,-4125.567775247165,0.01
57,1000,-52.01825850040063,-4548.21689654178,0.01
58,878,194.12984539490964,-2088.605596215074,0.01
59,853,-175.22260835879837,-3505.231220233747,0.01
60,893,131.01145594169367,-2144.0673790328565,0.01
61,704,71.07553456588244,-2147.5789408103615,0.01
62,649,267.59012104056137,-638.1409276554998,0.01
63,771,119.6612731346295,-2087.9686010008063,0.01
64,1000,6.063674898890767,-2537.379286436026,0.01
65,1000,-60.04171922971244,-2790.0762098767987,0.01
66,1000,1.7601750502413867,-2958.010261888621,0.01
67,980,159.84648771929125,-2088.104026867116,0.01
68,716,157.50791768387106,-1831.3400577256086,0.01
69,414,-5.227573575332826,-1621.5300203124323,0.01
70,1000,48.62716088231628,-1601.9134928077624,0.01
71,52,-96.74117343493849,-312.49626231373406,0.01
72,67,-52.570901541000026,-371.31013094938373,0.01
73,1000,67.38017166328358,-1714.3487746441278,0.01
74,1000,54.397706184145555,-2384.143557673477,0.01
75,1000,65.99981541768487,-2545.1947556422147,0.01
76,1000,102.26187982287905,-1688.8639620184688,0.01
77,126,-29.306880621441678,-690.136001960343,0.01
78,402,-69.74441191341728,-2045.3987413823804,0.01
79,1000,50.23808810482146,-2032.3085742701298,0.01
80,605,213.73828700803952,-2558.123144734615,0.01
81,1000,43.48287244599456,-2145.382356999969,0.01
82,1000,49.78929376014768,-1945.2385076378107,0.01
83,275,-5.39289984028504,-1708.4531653822917,0.01
84,295,-34.821118224508055,-1623.2319175695093,0.01
85,287,-41.710309919195,-1578.2164920747662,0.01
