ep,step,score,aug_score,exploration_rate
138,195,289.5415904907836,-272.6855959219998,0.01
139,389,159.54578645607265,-789.4018166510058,0.01
140,276,-191.5115970051185,-1649.278814092211,0.01
141,251,266.90274328465387,-580.1798748940289,0.01
142,294,200.93363798472075,-901.1908057400306,0.01
143,170,24.971356053960108,-1027.6140303924835,0.01
144,244,-32.72341513128676,-1137.754869619921,0.01
145,78,-36.28748341648365,-603.3533188626027,0.01
146,127,37.01818079255574,-750.8000905092466,0.01
147,469,153.82128391438152,-1673.2772875697128,0.01
148,466,-143.53048851660145,-1255.6454283865353,0.01
149,201,284.0426738069861,-287.57827782202463,0.01
150,395,-129.0387952438117,-1511.245306641773,0.01
151,85,27.236731859272,-481.18338849733243,0.01
152,112,8.490307318725087,-668.3044916980632,0.01
153,100,-42.23392637910082,-816.6712256241385,0.01
154,98,34.6036939931536,-654.8941783464074,0.01
155,224,253.7911606446925,-524.1249067486875,0.01
156,309,251.42592827986647,-415.2682926647615,0.01
157,194,300.46737161805703,-359.5008593973161,0.01
158,672,82.28989840484142,-1214.200222606312,0.01
159,316,163.2719560925587,-352.635341244402,0.01
160,192,280.81760326522243,-430.6326774076482,0.01
161,197,218.64276244579122,-563.1275890577189,0.01
162,404,-83.90694849967348,-1035.0255534293244,0.01
163,370,214.5723350548496,-698.6216635980101,0.01
164,91,-122.82239803055559,-1107.6361590338706,0.01
165,212,-84.01381482245225,-1343.492967084661,0.01
166,94,-65.19011247400455,-1011.0660561682677,0.01
167,83,-95.89919716279127,-862.8779716060594,0.01
168,127,18.45830144351065,-1004.7161547840599,0.01
169,125,-19.31401802843699,-824.7888399908529,0.01
170,100,36.96350700334824,-493.7455269520061,0.01
171,209,285.5768475393468,-281.36426444485056,0.01
172,272,223.87346403980948,-494.5557491254092,0.01
173,208,281.5696711922414,-507.2539030769485,0.01
174,119,6.77762235041088,-1005.1806279971133,0.01
175,303,226.33170707177013,-1021.7330249865672,0.01
176,80,-69.81928660816459,-722.6701201433586,0.01
177,596,215.6007216686861,-541.2367298183581,0.01
178,197,263.94901075479765,-539.0296261516843,0.01
179,229,295.7527943788042,-538.3257531075462,0.01
180,113,-53.741682237474386,-974.9297022311887,0.01
181,78,-49.30541495726837,-679.4861575116345,0.01
182,197,237.28297653066798,-450.7064071711194,0.01
183,262,247.30865247571006,-330.4500570099319,0.01
184,238,256.51266002409204,-287.7140229466732,0.01
185,1000,52.95840946699887,-2059.8634285319204,0.01
186,1000,-42.32961256680395,-693.9109036039508,0.01
187,198,262.74352832792283,-501.58437872792604,0.01
188,320,-85.70444590681883,-1086.4655097216794,0.01
189,229,292.32918097394946,-564.5599806931091,0.01
190,280,266.6889087799485,-1180.8513682747007,0.01
191,469,250.91507418736958,-534.3838601121299,0.01
192,108,-32.73784103183122,-928.4353768344405,0.01
193,86,71.3786034908413,-419.9565740029062,0.01
194,332,-104.34926442358822,-2680.1396127745898,0.01
195,1000,129.87234115607993,-931.4818752979031,0.01
196,304,235.4082137441216,-831.7683014926656,0.01
197,113,-15.18915049104973,-879.0302031145145,0.01
198,320,263.5799108128869,-400.8629792652475,0.01
199,73,-82.63076926429778,-672.3195683795443,0.01
200,352,183.1366289535212,-757.087807854388,0.01
201,1000,165.37338725232414,-508.71935916657776,0.01
202,600,-89.05300588805343,-1154.3720726897998,0.01
203,385,184.4103026795207,-460.01522676926027,0.01
204,315,248.5012400668939,-650.0317257113924,0.01
